Date,Day_of_the_week,App,Minutes,Category
8/28,Monday,TIKTOK,140,Social Media
8/28,Monday,MESSAGES,118,Other
8/28,Monday,INSTAGRAM,45,Social Media
8/28,Monday,SNAPCHAT,30,Social Media
8/28,Monday,ROBLOX,26,Entertainment
8/28,Monday,BEREAL,18,Social Media
8/28,Monday,FINDMYIPHONE,10,Other
8/28,Monday,NOTES,9,Other
8/28,Monday,PHOTOS,6,Other
8/28,Monday,SPOTIFY,4,Entertainment
8/28,Monday,DISCORD,4,Social Media
8/28,Monday,SAFARI,3,Other
8/28,Monday,CAMERA,1,Other
8/29,Tuesday,MESSAGES,113,Other
8/29,Tuesday,TIKTOK,103,Social Media
8/29,Tuesday,INSTAGRAM,41,Social Media
8/29,Tuesday,BEREAL,28,Social Media
8/29,Tuesday,SNAPCHAT,23,Social Media
8/29,Tuesday,YOUTUBE,19,Entertainment
8/29,Tuesday,NOTES,11,Other
8/29,Tuesday,EMMO,7,Other
8/29,Tuesday,SPOTIFY,6,Entertainment
8/29,Tuesday,PHOTOS,6,Other
8/29,Tuesday,CALCULATOR,5,Education
8/29,Tuesday,FINDMYIPHONE,4,Other
8/29,Tuesday,GMAIL,4,Education
8/29,Tuesday,CANVAS,2,Education
8/29,Tuesday,DISCORD,1,Social Media
8/30,Wednesday,TIKTOK,205,Social Media
8/30,Wednesday,MESSAGES,110,Other
8/30,Wednesday,INSTAGRAM,62,Social Media
8/30,Wednesday,CALCULATOR,45,Education
8/30,Wednesday,SNAPCHAT,32,Social Media
8/30,Wednesday,YOUTUBE,30,Entertainment
8/30,Wednesday,SAFARI,20,Other
8/30,Wednesday,PHOTOS,12,Other
8/30,Wednesday,EMMO,12,Other
8/30,Wednesday,BEREAL,10,Social Media
8/30,Wednesday,FINDMYIPHONE,8,Other
8/30,Wednesday,SPOTIFY,3,Entertainment
8/31,Thursday,MESSAGES,172,Other
8/31,Thursday,TIKTOK,117,Social Media
8/31,Thursday,INSTAGRAM,61,Social Media
8/31,Thursday,SNAPCHAT,54,Social Media
8/31,Thursday,PHOTOS,20,Other
8/31,Thursday,CAMERA,16,Other
8/31,Thursday,SAFARI,13,Other
8/31,Thursday,FINDMYIPHONE,12,Other
8/31,Thursday,BEREAL,6,Social Media
8/31,Thursday,YELP,4,Travel
8/31,Thursday,GMAIL,2,Education
8/31,Thursday,SPOTIFY,2,Entertainment
8/31,Thursday,DISCORD,1,Social Media
9/1,Friday,TIKTOK,280,Social Media
9/1,Friday,MESSAGES,138,Other
9/1,Friday,INSTAGRAM,59,Social Media
9/1,Friday,SNAPCHAT,50,Social Media
9/1,Friday,YOUTUBE,23,Entertainment
9/1,Friday,BEREAL,16,Social Media
9/1,Friday,FINDMYIPHONE,9,Other
9/1,Friday,PHOTOS,3,Other
9/1,Friday,YELP,2,Travel
9/1,Friday,SAFARI,2,Other
9/1,Friday,SPOTIFY,1,Entertainment
9/2,Saturday,TIKTOK,270,Social Media
9/2,Saturday,MESSAGES,107,Other
9/2,Saturday,INSTAGRAM,55,Social Media
9/2,Saturday,SNAPCHAT,45,Social Media
9/2,Saturday,SAFARI,38,Other
9/2,Saturday,YOUTUBE,28,Entertainment
9/2,Saturday,BEREAL,9,Social Media
9/2,Saturday,FINDMYIPHONE,7,Other
9/2,Saturday,SPOTIFY,6,Entertainment
9/2,Saturday,PHOTOS,4,Other
9/3,Sunday,TIKTOK,115,Social Media
9/3,Sunday,MESSAGES,103,Other
9/3,Sunday,PHOTOS,46,Other
9/3,Sunday,INSTAGRAM,36,Social Media
9/3,Sunday,SNAPCHAT,26,Social Media
9/3,Sunday,YOUTUBE,22,Entertainment
9/3,Sunday,BEREAL,21,Social Media
9/3,Sunday,CAMERA,20,Other
9/3,Sunday,FINDMYIPHONE,8,Other
9/3,Sunday,SPOTIFY,5,Entertainment
9/3,Sunday,SAFARI,5,Other
9/3,Sunday,GMAIL,2,Education